iter	RMSE
492	0.1640603388
493	0.1640038857
494	0.163794559
495	0.1637079817
496	0.1636239625
497	0.1635314763
498	0.1634119111
499	0.1633722313
500	0.1632779146
501	0.1630893774
502	0.1629870255
503	0.1627290562
504	0.1625721002
505	0.1624381216
506	0.162359322
507	0.1622287339
508	0.1621311669
509	0.1619525718
510	0.1618765871
511	0.1617441676
512	0.1613606169
513	0.1612222197
514	0.1609683768
515	0.1607109647
516	0.1605067724
517	0.1604278543
518	0.1603074838
519	0.160210203
520	0.1601250635
521	0.1600233479
522	0.1599422729
523	0.1597869773
524	0.1596650239
525	0.1595655614
526	0.1595015002
527	0.1594285041
528	0.159259104
529	0.1591943768
530	0.1590395002
531	0.1589521686
532	0.1588149761
533	0.1587071497
534	0.1586282737
535	0.1585586458
536	0.1584010753
537	0.1582050925
538	0.1580123494
539	0.1579282611
540	0.1578099341
541	0.1576372256
542	0.1575670625
543	0.1575284235
544	0.1573614368
545	0.1572474342
546	0.1571662989
547	0.1570452902
548	0.1569353224
549	0.1567858053
550	0.1567005816
551	0.1565512506
552	0.1564682694
553	0.1563958907
554	0.1562788856
555	0.1561545206
556	0.1559880024
557	0.1559100865
558	0.1556732911
559	0.1555711042
560	0.1554755721
561	0.1553873095
562	0.155276735
563	0.1551577049
564	0.1550814901
565	0.1550008801
566	0.1548599996
567	0.1547880541
568	0.1547038546
569	0.1545322224
570	0.1544186282
571	0.15419999
572	0.1540303801
573	0.1538969218
574	0.1537735829
575	0.153684912
576	0.153558631
577	0.1534337717
578	0.1532561448
579	0.1531420791
580	0.1530241296
581	0.1528685826
582	0.1527467049
583	0.1526669861
584	0.1525434439
585	0.1524877317
586	0.152416025
587	0.1523000809
588	0.152220826
589	0.1520381053
590	0.1519329505
591	0.1518284785
592	0.1517114301
593	0.1515722049
594	0.1514628037
595	0.1514050317
596	0.1512688486
597	0.1510807255
598	0.1509070025
599	0.1507910267
600	0.1506856817
601	0.1505929511
602	0.1505011411
603	0.1504113314
604	0.1502422656
605	0.1501176663
606	0.1500212319
607	0.1499140074
608	0.1498612123
609	0.1498349058
610	0.1497858403
611	0.1496901972
612	0.1495673705
613	0.1494871888
614	0.1493973661
615	0.1493446752
616	0.1491891713
617	0.1490344043
618	0.1490248406
619	0.1489425465
620	0.1487688038
621	0.1486474422
622	0.1485487763
623	0.1484590314
624	0.1483449358
625	0.1482717539
626	0.1482072401
627	0.1481116811
628	0.1480330707
629	0.1478938702
630	0.1477615239
631	0.147665433
632	0.1475615329
633	0.1474465129
634	0.1472455322
635	0.1472120773
636	0.1471051571
637	0.1469420256
638	0.1468458095
639	0.1467069215
640	0.1466471326
641	0.1466056103
642	0.1465180052
643	0.1464594779
644	0.146280111
645	0.1462166062
646	0.146061948
647	0.145877457
648	0.145791865
649	0.1457085835
650	0.1456502423
651	0.145482705
652	0.145365914
653	0.1452640913
654	0.1451430342
655	0.1450869762
656	0.1449707163
657	0.144907641
658	0.1448247675
659	0.1447358519
660	0.1446160261
661	0.1445338755
662	0.1444311856
663	0.1443606008
664	0.1443109089
665	0.1441913833
666	0.1441312132
667	0.1440719904
668	0.1439437757
669	0.1438438713
670	0.1437454943
671	0.1436378792
672	0.1436177811
673	0.1433199541
674	0.1432145916
675	0.1431011717
676	0.1430022807
677	0.1429201011
678	0.1428635319
679	0.1427451619
680	0.1426523176
681	0.1426217333
682	0.1425113671
683	0.142379676
684	0.1422957787
685	0.1422135719
686	0.1421381301
687	0.1420149073
688	0.1419504803
689	0.1417562969
690	0.141571639
691	0.1415173259
692	0.1414384862
693	0.1413660637
694	0.141214243
695	0.1410896054
696	0.141037565
697	0.1409540204
698	0.1408179422
699	0.1407516845
700	0.1406523047
701	0.1405775893
702	0.1404747112
703	0.1403478112
704	0.1401971831
705	0.1400706058
706	0.1399524796
707	0.1398307959
708	0.1397315777
709	0.1395682178
710	0.1395019033
711	0.1393602675
712	0.1392461696
713	0.1392132107
714	0.13917942
715	0.1391016531
716	0.1389911108
717	0.1389030797
718	0.1388610386
719	0.1387954829
720	0.1387297143
721	0.1386385916
722	0.13853151
723	0.1384729029
724	0.1383479313
725	0.1382899921
726	0.1382159332
727	0.1381109637
728	0.1380493159
729	0.1379963241
730	0.1379232567
731	0.1378748196
732	0.1376030992
733	0.1374890857
734	0.1374425678
735	0.1373123722
736	0.1372291418
737	0.1371768489
738	0.1371545657
739	0.1370713093
740	0.1369623759
741	0.1368938709
742	0.136781289
743	0.1366961406
744	0.1366009738
745	0.1364621114
746	0.136384892
747	0.1363542158
748	0.1362563995
749	0.1361340309
750	0.1360114754
751	0.1358649297
752	0.1357950992
753	0.1357317896
754	0.1356730842
755	0.1355642503
756	0.1355119224
757	0.1353212228
758	0.1352212072
759	0.1351172328
760	0.1350473432
761	0.1349653353
762	0.1348805916
763	0.1348242489
764	0.1347894669
765	0.1347541104
766	0.134693565
767	0.1346243141
768	0.1345125834
769	0.134407442
770	0.1343146649
771	0.1342357026
772	0.1341862677
773	0.1340736832
774	0.134011115
775	0.1339562533
776	0.1338923814
777	0.13379321
778	0.1336237275
779	0.1334135725
780	0.133314328
781	0.1332427981
782	0.133162161
783	0.1331029889
784	0.1330511138
785	0.1329775725
786	0.1329002761
787	0.1328442316
788	0.1327456726
789	0.132719632
790	0.1326351294
791	0.1325099637
792	0.1323987922
793	0.1322899047
794	0.1321888369
795	0.1321471677
796	0.1320319584
797	0.1319825858
798	0.1319519775
799	0.1318555521
800	0.1317939996
801	0.131657586
802	0.1315890028
803	0.1314643457
804	0.1313869945
805	0.1313247581
806	0.1312422724
807	0.1312228277
808	0.1311552506
809	0.1310566017
810	0.1309933592
811	0.1309460377
812	0.1308557228
813	0.1308086615
814	0.1307041554
815	0.1305813529
816	0.1305000782
817	0.1304818985
818	0.1304248049
819	0.1303341789
820	0.1302523013
821	0.1301565361
822	0.1300528794
823	0.1299820502
824	0.1299174113
825	0.1297344136
826	0.1296863936
827	0.1296723642
828	0.1296043082
829	0.1295604891
830	0.129507923
831	0.1294077513
832	0.1293571378
833	0.1292786992
834	0.1291833611
835	0.1291214382
836	0.1290734826
837	0.1290023228
838	0.1289324514
839	0.1287890575
840	0.1286987024
841	0.1286794733
842	0.128618333
843	0.1285894344
844	0.1285304764
845	0.1284561908
846	0.1283673464
847	0.128319102
848	0.1282325471
849	0.1281148287
850	0.1280242251
851	0.1279190386
852	0.1278063287
853	0.1277435973
854	0.1276875878
855	0.1275918227
856	0.1274960136
857	0.1274378781
858	0.1273666354
859	0.1271882933
860	0.1271282181
861	0.1270695235
862	0.12695538
863	0.1268393727
864	0.1267416232
865	0.1266656865
866	0.1265251286
867	0.1264610483
868	0.1264309693
869	0.1263977017
870	0.1263522584
871	0.126309672
872	0.1262653831
873	0.1261645817
874	0.126135923
875	0.1260583803
876	0.1259825483
877	0.1258548135
878	0.1258281197
879	0.125762449
880	0.1256726209
881	0.125559184
882	0.1254724584
883	0.1253930809
884	0.1252343988
885	0.1251796667
886	0.1251380268
887	0.1250517743
888	0.1249760553
889	0.1248604607
890	0.1247935313
891	0.1247272197
892	0.1246368951
893	0.1245491906
894	0.1244746653
895	0.1244446512
896	0.1243850259
897	0.1243112017
898	0.1242609578
899	0.1241921884
900	0.1241557722
901	0.1241192612
902	0.1240581176
903	0.1239863833
904	0.1239207095
905	0.1238974876
906	0.1237673875
907	0.1236892339
908	0.1236511226
909	0.1235368862
910	0.1234859548
911	0.1234126802
912	0.1233340013
913	0.1232339506
914	0.1231725495
915	0.1230836617
916	0.1230269701
917	0.1229368222
918	0.1228876894
919	0.1228110567
920	0.1227815018
921	0.1227124358
922	0.1226003334
923	0.12251486
924	0.1224886968
925	0.122444385
926	0.1224138146
927	0.1222733162
928	0.1222273602
929	0.1221203995
930	0.1220548023
931	0.1219688423
932	0.1218757018
933	0.1217603917
934	0.12170213
935	0.1216535669
936	0.1216068999
937	0.121542361
938	0.1214624185
939	0.1213560546
940	0.1212867935
941	0.1212183721
942	0.1211828253
943	0.1210798281
944	0.1210458931
945	0.1209965017
946	0.1209110818
947	0.1208797467
948	0.120826326
949	0.1207481378
950	0.1206571563
951	0.1205924517
952	0.1205039908
953	0.1203931079
954	0.12032296
955	0.1202487875
956	0.1202101045
957	0.1201646297
958	0.1200454269
959	0.1199746516
960	0.1198395081
961	0.1197514149
962	0.1196544492
963	0.1195953386
964	0.1195256894
965	0.1195136232
966	0.1194298428
967	0.1193636843
968	0.1192770275
969	0.1192381185
970	0.1191773442
971	0.1191229745
972	0.1190723481
973	0.1189923368
974	0.1189310372
975	0.1188650497
976	0.1188174151
977	0.1187401226
978	0.1186695207
979	0.1186245951
980	0.1185534617
981	0.1184806005
982	0.1182445639
983	0.1182146012
984	0.118172774
985	0.1181061201
986	0.1180391973
987	0.1179507536
988	0.1178888627
989	0.1178293977
990	0.1177520966
991	0.1176886766
992	0.117623253
993	0.1175455032
994	0.1174825106
995	0.1173966027
996	0.1173465458
997	0.1172674532
998	0.1172067906
999	0.1170966983
